Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: PWGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
5:50 a.m. to 5:54 a.m.,55619,41669,43764,59495,35923,56440,35036,43174,45405
5:55 a.m. to 5:59 a.m.,55883,41807,38377,48000,27113,48564,43587,40731,48456
6:00 a.m. to 6:04 a.m.,61751,48782,38063,38490,68526,61519,60764,43278,47250
6:05 a.m. to 6:09 a.m.,58861,41710,37825,42890,28711,62624,38393,39196,45439
6:10 a.m. to 6:14 a.m.,61025,40354,39566,19874,39577,66715,36038,39072,45051
6:15 a.m. to 6:19 a.m.,63141,42605,40511,,40719,71501,56253,41391,47931
6:20 a.m. to 6:24 a.m.,62748,44456,45282,71478,21829,67151,35787,39839,46325
6:25 a.m. to 6:29 a.m.,64342,46811,47768,16983,23893,69205,98208,41519,49343
6:30 a.m. to 6:34 a.m.,63470,44923,38413,81291,48100,64550,50251,40330,49038
6:35 a.m. to 6:39 a.m.,63773,44003,43956,68866,40284,73254,56491,41825,48586
6:40 a.m. to 6:44 a.m.,63196,43911,40446,41741,40015,73142,55857,40080,48918
6:45 a.m. to 6:49 a.m.,63040,45153,39659,42754,39372,82313,45277,41205,47838
6:50 a.m. to 6:54 a.m.,62109,44257,41142,72871,45612,75979,55213,41191,48673
6:55 a.m. to 6:59 a.m.,61523,44693,36199,96682,31081,77292,51896,41459,49329
7:00 a.m. to 7:04 a.m.,64244,47236,42080,40864,52823,78460,60893,42364,50619
7:05 a.m. to 7:09 a.m.,62009,46822,41384,12835,34357,72508,41709,38679,50285
7:10 a.m. to 7:14 a.m.,63222,43192,47165,47348,30358,77187,49433,39773,49645
7:15 a.m. to 7:19 a.m.,64720,45793,44442,41880,35371,73145,43307,40873,47509
7:20 a.m. to 7:24 a.m.,64856,49180,42966,78566,31745,85463,45973,38943,48811
7:25 a.m. to 7:29 a.m.,63426,47932,41427,54113,45962,82406,40731,39966,52241
7:30 a.m. to 7:34 a.m.,64882,48915,45957,33572,33744,87100,50406,39984,51306
7:35 a.m. to 7:39 a.m.,64854,45922,35816,37450,28957,71975,48512,42425,51018
7:40 a.m. to 7:44 a.m.,64925,46730,36166,26061,46743,81990,46063,40988,51513
7:45 a.m. to 7:49 a.m.,65469,48195,43523,41234,40192,81136,53017,41871,49569
7:50 a.m. to 7:54 a.m.,63907,50285,41655,55036,24616,83467,47156,39550,51733
7:55 a.m. to 7:59 a.m.,63390,48551,43989,34519,48037,84387,44235,38739,50920
8:00 a.m. to 8:04 a.m.,67458,49369,43036,42511,31796,85548,53426,41915,52325
8:05 a.m. to 8:09 a.m.,67166,45911,43827,43001,46140,82201,55890,39824,48723
8:10 a.m. to 8:14 a.m.,67316,45455,44148,30512,34643,83262,45812,33944,48955
8:15 a.m. to 8:19 a.m.,71965,47853,42117,40951,53259,86123,35170,40809,51152
8:20 a.m. to 8:24 a.m.,70452,49296,39860,41834,26266,89549,54681,39976,50546
8:25 a.m. to 8:29 a.m.,70502,48725,38662,33731,49605,87543,84226,40086,58343
