Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: WGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
7:00 a.m. to 7:04 a.m.,43,43,41,41,40,43,43,40,41
7:05 a.m. to 7:09 a.m.,44,42,40,41,38,42,44,39,40
7:10 a.m. to 7:14 a.m.,44,43,42,36,40,43,39,40,40
7:15 a.m. to 7:19 a.m.,44,43,38,34,43,43,41,40,41
7:20 a.m. to 7:24 a.m.,44,43,42,59,37,43,40,39,41
7:25 a.m. to 7:29 a.m.,44,43,42,40,39,42,45,40,41
7:30 a.m. to 7:34 a.m.,44,43,41,42,40,44,39,39,41
7:35 a.m. to 7:39 a.m.,44,43,42,45,41,42,44,40,41
7:40 a.m. to 7:44 a.m.,44,42,42,41,37,43,36,40,41
7:45 a.m. to 7:49 a.m.,44,43,42,37,38,43,46,39,40
7:50 a.m. to 7:54 a.m.,44,43,42,44,45,43,40,39,40
7:55 a.m. to 7:59 a.m.,43,42,42,41,43,42,39,39,40
8:00 a.m. to 8:04 a.m.,43,43,41,39,40,43,40,40,40
8:05 a.m. to 8:09 a.m.,43,42,42,46,38,43,39,39,40
8:10 a.m. to 8:14 a.m.,44,42,41,49,38,43,42,39,40
8:15 a.m. to 8:19 a.m.,44,42,39,50,42,43,38,39,40
8:20 a.m. to 8:24 a.m.,44,42,40,34,40,43,42,39,40
8:25 a.m. to 8:29 a.m.,44,42,39,34,34,42,44,39,40
8:30 a.m. to 8:34 a.m.,44,43,40,33,42,43,40,40,40
8:35 a.m. to 8:39 a.m.,44,42,40,38,50,42,35,40,40
8:40 a.m. to 8:44 a.m.,44,42,41,45,33,42,38,39,40
8:45 a.m. to 8:49 a.m.,44,43,40,34,43,42,40,40,41
8:50 a.m. to 8:54 a.m.,44,41,40,39,37,42,39,38,40
8:55 a.m. to 8:59 a.m.,43,41,41,43,32,42,40,38,40
9:00 a.m. to 9:04 a.m.,44,42,43,39,38,42,42,39,40
9:05 a.m. to 9:09 a.m.,44,40,37,38,42,41,35,38,40
9:10 a.m. to 9:14 a.m.,44,41,42,48,45,41,36,38,39
9:15 a.m. to 9:19 a.m.,44,42,42,56,37,42,36,39,40
9:20 a.m. to 9:24 a.m.,45,41,42,42,43,42,36,40,41
9:25 a.m. to 9:29 a.m.,44,41,33,32,56,42,37,38,40
9:30 a.m. to 9:34 a.m.,44,42,40,29,37,43,40,40,40
9:35 a.m. to 9:39 a.m.,45,42,37,,38,42,39,37,41
9:40 a.m. to 9:44 a.m.,44,42,37,,35,42,55,40,40
9:45 a.m. to 9:49 a.m.,44,42,39,47,45,42,31,38,39
9:50 a.m. to 9:54 a.m.,44,42,41,35,63,42,37,38,38
9:55 a.m. to 9:59 a.m.,42,40,40,33,35,44,39,37,38
10:00 a.m. to 10:04 a.m.,44,41,43,42,34,43,30,38,40
10:05 a.m. to 10:09 a.m.,44,39,38,38,59,41,50,36,38
10:10 a.m. to 10:14 a.m.,44,41,42,52,41,42,31,37,38
10:15 a.m. to 10:19 a.m.,44,41,35,39,34,41,44,39,37
10:20 a.m. to 10:24 a.m.,45,42,41,,40,42,46,37,39
10:25 a.m. to 10:29 a.m.,43,40,33,51,23,42,36,37,38
10:30 a.m. to 10:34 a.m.,44,42,38,27,37,44,47,41,39
10:35 a.m. to 10:39 a.m.,43,41,43,,34,43,69,39,39
10:40 a.m. to 10:44 a.m.,43,40,39,,53,42,31,38,39
10:45 a.m. to 10:49 a.m.,42,42,41,,35,43,49,37,38
10:50 a.m. to 10:54 a.m.,41,40,35,45,34,43,50,37,37
10:55 a.m. to 10:59 a.m.,39,42,34,18,38,43,26,37,34
